ticker,pe,roe,analyst_rating_raw
3143.T,6.5017157,0.18195999,none
3151.T,7.390812,0.06159,none
3153.T,14.184077,0.17082001,none
3154.T,13.755746,0.06735,none
3156.T,16.666666,0.06717,none
3157.T,8.090404,0.10257,none
3159.T,6.844479,0.06316,none
3161.T,28.48909,0.01671,none
3160.T,74.06015,-0.0040700003,none
3166.T,17.95306,0.050479997,none
3167.T,15.015016,0.1168,none
3168.T,0.0,0.01831,none
3169.T,43.858433,0.31087,none
3172.T,13.774661,0.053829998,none
3173.T,0.0,0.022230001,none
3174.T,0.0,-1.62412,none
3175.T,28.59375,1.18175,none
3176.T,10.373391,0.10125,none
3177.T,7.1988597,0.07628,none
3179.T,20.661865,0.17553,none
3178.T,23.47608,0.09182999,none
3180.T,20.789686,0.12771,strong_buy
3181.T,10.941051,0.09928001,none
3182.T,23.076923,0.12880999,strong_buy
3183.T,16.891891,0.09134,none
3184.T,7.46826,0.12208,none
3185.T,0.0,-0.97900003,none
3187.T,46.296295,-0.13805,none
3186.T,22.17343,0.20729,buy
3189.T,0.0,0.23876,none
3190.T,13.680937,0.0,none
3191.T,13.333333,0.0,none
3192.T,6.743003,0.01991,none
3193.T,19.96008,0.20376,none
3195.T,21.550856,0.06102,none
3196.T,106.36842,0.045539998,none
3197.T,44.84445,0.0928,none
3198.T,42.375824,0.13358,none
3199.T,14.617973,0.08031999,none
3201.T,14.3473,0.07126,none
3202.T,78.26087,0.01589,none
3204.T,6.7892127,0.047659997,none
3205.T,0.0,-0.22732,none
3221.T,19.342785,0.16738,none
3222.T,62.027027,-0.01577,none
3223.T,14.946901,0.25028,none
3224.T,0.0,-0.04833,none
3231.T,14.18435,0.0758,buy
3232.T,9.359191,0.0,hold
3236.T,5.0506473,0.0,none
3237.T,0.0,-0.76568,none
3238.T,6.2587657,0.08144,none
3242.T,4.9066434,0.22992,none
3241.T,10.213653,0.12802,none
3245.T,9.099085,0.15099,none
3246.T,36.973835,0.0671,none
3248.T,10.277084,0.06573,none
3261.T,0.0,-0.0011,none
3252.T,9.839324,0.13866,buy
3266.T,10.229885,0.10435,none
3267.T,14.22408,0.12587,none
3271.T,12.136199,0.31281,none
3276.T,12.468525,0.19365999,none
3277.T,8.841482,0.09837,none
3284.T,9.597259,0.07085,none
3280.T,3.0211802,0.24531999,none
3286.T,22.779455,0.17423001,none
3288.T,11.792858,0.19297001,none
3289.T,9.514709,0.113120005,buy
3291.T,13.209719,0.054390002,none
3293.T,11.197691,0.073359996,none
3294.T,22.935997,0.13957,none
3297.T,10.627273,0.08089,none
3299.T,8.183358,0.19621,none
3300.T,9.852104,0.26504,none
3306.T,5.071072,0.03951,none
3302.T,20.325373,0.05387,none
3315.T,0.0,-0.32123002,none
3317.T,11.286584,0.12416001,none
3320.T,7.1683645,0.09661,none
3321.T,6.949361,0.13262,none
3323.T,88.34952,0.03916,none
3326.T,60.60337,0.29463,none
3329.T,24.270973,0.10144,none
3333.T,15.92291,0.05722,none
3349.T,16.72251,0.12172,buy
3350.T,0.0,-0.06422,none
3352.T,9.504491,0.07074,none
3353.T,8.5575075,0.08479,none
3358.T,425.0,-0.06098,none
3359.T,13.101604,0.10849,none
3355.T,9.677419,0.083579995,none
3360.T,15.698184,0.092180006,none
3361.T,13.407978,0.06959,none
3370.T,15.477458,0.4878,none
3371.T,13.532221,0.17249,none
3374.T,7.5700107,0.08274999,none
3372.T,9.277058,0.23929001,none
3375.T,7.022365,0.12933,none
3377.T,17.301037,0.0,none
3382.T,22.227524,0.085839994,buy
3386.T,21.88501,0.03424,none
3387.T,57.799545,0.12672,none
3388.T,8.71063,0.085489996,none
3391.T,33.47218,0.05613,hold
3392.T,10.060497,0.16504999,none
3393.T,14.124549,0.28564,none
3395.T,32.57441,0.08221,none
3396.T,17.285175,0.0184,none
3397.T,83.33652,0.04947,none
3399.T,24.096386,0.07913,strong_buy
3401.T,4.772835,-0.18936001,hold
3402.T,30.489712,0.02648,buy
3405.T,72.98044,0.00657,hold
3407.T,15.847285,0.0,buy
3409.T,0.0,-0.06816,none
3415.T,20.24075,0.21259001,strong_buy
3416.T,16.835966,0.077020004,none
3417.T,6.5876913,0.07596,none
3420.T,10.383882,0.04368,none
3421.T,16.07723,0.03925,none
3422.T,2.4419262,-0.07713,none
3418.T,26.523298,0.07453,strong_buy
3423.T,28.243511,0.01987,none
3426.T,13.946619,0.03618,none
3431.T,10.416792,0.08392999,none
3433.T,18.60976,0.14538,none
3434.T,0.0,0.01135,none
3435.T,9.851851,0.052789997,none
3436.T,39.59984,-0.01543,buy
3439.T,98.00285,0.0025,none
3437.T,11.013018,0.05152,none
3440.T,6.863505,0.06638,none
3441.T,7.770098,0.16372,none
3443.T,9.16615,0.07871,none
3446.T,129.8969,-0.01513,none
3444.T,16.947226,0.11562,none
3445.T,11.655145,0.08681,none
3447.T,10.560165,0.109230004,none
3448.T,333.33334,0.0,none
3450.T,1.8326043,0.0,none
3449.T,16.340101,0.12735,none
3452.T,6.357228,0.23423,none
3454.T,9.910994,0.06842,none
3457.T,17.122345,0.07298,none
3461.T,30.127142,0.10629,none
3469.T,52.353554,0.03339,none
3465.T,9.775263,0.21402,none
3467.T,7.9744763,0.24962,none
3474.T,17.444794,-0.19621,none
3475.T,32.89597,0.09907,none
3477.T,7.9743443,0.122320004,none
3479.T,26.38608,0.07858,none
3480.T,21.882198,0.15916,none
3482.T,6.6268773,0.27229,none
3483.T,4.3181868,0.0,none
3484.T,15.456705,0.33306998,none
3486.T,7.052152,0.3468,none
3489.T,7.5473466,0.44202998,none
3491.T,16.611877,0.0,none
3490.T,13.586805,0.0,none
3494.T,6.1382394,0.1034,none
3495.T,6.788772,0.09527001,none
3496.T,29.499012,0.0,none
3501.T,27.099014,0.04153,none
3512.T,38.765823,0.02375,none
3513.T,15.096882,0.045500003,none
3498.T,10.449286,0.26387,strong_buy
3521.T,25.714285,0.03317,none
3529.T,0.0,-0.056649998,none
3537.T,10.977233,0.05015,none
3524.T,8.7032385,0.05797,none
3536.T,18.219177,0.14682999,none
3538.T,6.3412547,0.13126999,none
3539.T,12.820939,0.13768,none
3543.T,21.458775,0.13278,buy
3541.T,1439.6227,-0.00792,none
3542.T,26.45479,0.25392,none
3544.T,21.975246,0.05485,none
